コード,銘柄名,市場,終値,前日比,スコア,流入開始,経過日,時価総額,蓄積,出来高質,収縮放れ,転換,乖離率,状態,初動,監視,スキャン日時
2930,北の達人コーポレーション,プライム,126.0,1.61,22.0,-,,176,0.0,10.0,0.0,12.0,5.8,様子見,False,False,2026-07-12 14:51
2931,ユーグレナ,プライム,345.0,0.29,22.0,-,,480,0.0,0.0,0.0,22.0,2.7,様子見,False,False,2026-07-12 14:51
2933,紀文食品,プライム,1079.0,0.37,63.0,06/12,21.0,246,30.0,6.0,20.0,7.0,2.0,様子見,False,False,2026-07-12 14:51
2935,ピックルスホールディングス,プライム,1146.0,-0.61,25.0,-,,144,0.0,18.0,0.0,7.0,2.8,様子見,False,False,2026-07-12 14:51
2975,スター・マイカ・ホールディングス,プライム,1516.0,-0.72,16.0,-,,575,0.0,0.0,0.0,16.0,-1.6,収縮中 (監視),False,False,2026-07-12 14:51
2980,ＳＲＥホールディングス,プライム,2526.0,0.52,18.0,-,,407,0.0,0.0,0.0,18.0,2.1,様子見,False,False,2026-07-12 14:51
2982,ＡＤワークスグループ,プライム,396.0,1.02,54.0,06/15,20.0,196,30.0,0.0,12.0,12.0,1.3,蓄積+収縮 (監視推奨),False,True,2026-07-12 14:51
3002,グンゼ,プライム,3980.0,-1.36,12.0,-,,1248,0.0,0.0,0.0,12.0,3.0,様子見,False,False,2026-07-12 14:51
3003,ヒューリック,プライム,1755.0,-0.17,30.0,-,,13326,12.0,6.0,0.0,12.0,3.4,様子見,False,False,2026-07-12 14:51
3028,アルペン,プライム,2108.0,-0.57,27.0,-,,790,0.0,0.0,20.0,7.0,2.5,様子見,False,False,2026-07-12 14:51
3031,ラクーンホールディングス,プライム,618.0,0.65,19.0,-,,126,0.0,0.0,0.0,19.0,4.6,様子見,False,False,2026-07-12 14:51
3034,クオールホールディングス,プライム,2041.0,0.15,9.2,-,,767,12.0,4.0,0.0,7.0,7.1,過熱 (初動ではない),False,False,2026-07-12 14:51
3036,アルコニックス,プライム,2479.0,0.98,24.0,-,,745,0.0,0.0,12.0,12.0,2.6,収縮中 (監視),False,False,2026-07-12 14:51
3038,神戸物産,プライム,2638.0,-2.21,23.0,-,,5851,0.0,11.0,0.0,12.0,0.0,様子見,False,False,2026-07-12 14:51
3040,ソリトンシステムズ,プライム,1988.0,1.33,17.0,-,,369,0.0,0.0,0.0,17.0,-0.5,様子見,False,False,2026-07-12 14:51
3046,ジンズホールディングス,プライム,7740.0,-3.73,45.0,06/23,14.0,1807,22.0,7.0,0.0,16.0,-6.3,様子見,False,False,2026-07-12 14:51
3048,ビックカメラ,プライム,1640.5,-0.7,9.0,06/29,10.0,2809,0.0,0.0,0.0,9.0,-2.2,様子見,False,False,2026-07-12 14:51
3050,ＤＣＭホールディングス,プライム,1479.0,-1.53,44.0,06/25,12.0,2026,30.0,6.0,0.0,8.0,-1.0,蓄積+収縮 (監視推奨),False,True,2026-07-12 14:51
3064,ＭｏｎｏｔａＲＯ,プライム,1972.0,-0.15,6.8,-,,9698,0.0,10.0,0.0,7.0,7.7,過熱 (初動ではない),False,False,2026-07-12 14:51
3076,あい　ホールディングス,プライム,2673.0,0.64,64.0,06/05,26.0,1424,30.0,0.0,12.0,22.0,0.9,蓄積+収縮 (監視推奨),False,True,2026-07-12 14:51
3086,Ｊ．フロント　リテイリング,プライム,3168.0,-2.13,8.4,-,,7813,12.0,0.0,0.0,9.0,10.4,過熱 (初動ではない),False,False,2026-07-12 14:51
3087,ドトール・日レスホールディングス,プライム,2756.0,-0.04,24.0,-,,1158,12.0,0.0,0.0,12.0,2.6,様子見,False,False,2026-07-12 14:51
3088,マツキヨココカラ＆カンパニー,プライム,2423.5,-2.75,27.0,05/29,31.0,9532,0.0,15.0,0.0,12.0,1.6,様子見,False,False,2026-07-12 14:51
3091,ブロンコビリー,プライム,2249.0,-1.62,42.0,-,,670,12.0,6.0,12.0,12.0,1.1,収縮中 (監視),False,False,2026-07-12 14:51
3092,ＺＯＺＯ,プライム,1161.5,-1.11,39.0,-,,10242,12.0,15.0,0.0,12.0,3.0,様子見,False,False,2026-07-12 14:51
3093,トレジャー・ファクトリー,プライム,2196.0,-2.31,16.0,-,,515,0.0,7.0,0.0,9.0,4.6,様子見,False,False,2026-07-12 14:51
3097,物語コーポレーション,プライム,4985.0,-1.09,12.0,-,,1914,0.0,0.0,0.0,12.0,5.5,様子見,False,False,2026-07-12 14:51
3099,三越伊勢丹ホールディングス,プライム,3841.0,-0.05,22.0,-,,13424,0.0,6.0,0.0,16.0,-0.2,様子見,False,False,2026-07-12 14:51
3101,東洋紡,プライム,1727.0,-1.48,43.0,-,,1524,0.0,4.0,20.0,19.0,0.1,収縮中 (監視),False,False,2026-07-12 14:51
3104,富士紡ホールディングス,プライム,3860.0,-0.64,30.0,07/07,4.0,1302,30.0,0.0,0.0,0.0,-4.7,様子見,False,False,2026-07-12 14:51
3105,日清紡ホールディングス,プライム,2224.0,-2.99,8.0,-,,3474,0.0,0.0,0.0,8.0,-2.5,様子見,False,False,2026-07-12 14:51
3106,倉敷紡績,プライム,10020.0,-0.4,9.0,07/02,7.0,1591,0.0,0.0,0.0,9.0,0.4,収縮中 (監視),False,False,2026-07-12 14:51
3107,ダイワボウホールディングス,プライム,3392.0,-0.29,5.0,-,,2928,0.0,0.0,0.0,5.0,-0.8,収縮中 (監視),False,False,2026-07-12 14:51
3109,シキボウ,プライム,1048.0,0.96,21.0,-,,133,0.0,0.0,14.0,7.0,2.9,様子見,False,False,2026-07-12 14:51
3110,日東紡績,プライム,3445.0,-1.01,0.0,-,,6271,0.0,0.0,0.0,0.0,-10.3,様子見,False,False,2026-07-12 14:51
3116,トヨタ紡織,プライム,2178.5,0.39,37.0,07/06,5.0,3892,22.0,4.0,0.0,11.0,-0.3,様子見,False,False,2026-07-12 14:51
3132,マクニカホールディングス,プライム,3256.0,2.62,36.0,06/17,18.0,5814,0.0,0.0,20.0,16.0,0.5,様子見,False,False,2026-07-12 14:51
3139,ラクト・ジャパン,プライム,3465.0,-0.43,11.6,-,,346,12.0,10.0,0.0,7.0,5.3,過熱 (初動ではない),False,False,2026-07-12 14:51
3148,クリエイトＳＤホールディングス,プライム,3255.0,-1.96,12.0,05/27,33.0,2103,0.0,4.0,0.0,8.0,-0.3,様子見,False,False,2026-07-12 14:51
3150,グリムス,プライム,2511.0,-0.44,35.0,07/06,5.0,581,0.0,0.0,20.0,15.0,3.2,収縮中 (監視),False,False,2026-07-12 14:51
3151,バイタルケーエスケー・ホールディングス,プライム,1560.0,-0.32,39.0,-,,749,0.0,0.0,20.0,19.0,1.4,収縮中 (監視),False,False,2026-07-12 14:51
3153,八洲電機,プライム,2797.0,0.04,32.0,-,,590,0.0,7.0,0.0,25.0,0.4,収縮中 (監視),False,False,2026-07-12 14:51
